partida_id,data,vencedor,mandante,visitante,clube,cartao,atleta,posicao,minuto,resultado
4607,19/04/2014,Fluminense,Fluminense,Figueirense,Figueirense,Amarelo,Paulo Roberto da Silva,,66,Derrota
4607,19/04/2014,Fluminense,Fluminense,Figueirense,Figueirense,Amarelo,Thiago Heleno,Zagueiro,44,Derrota
4608,19/04/2014,Internacional,Internacional,Vitoria,Internacional,Amarelo,Andrés D'Alessandro,Meio-campo,72,Vitória
4608,19/04/2014,Internacional,Internacional,Vitoria,Vitoria,Amarelo,Marcelo Machado dos Santos,,86,Derrota
4608,19/04/2014,Internacional,Internacional,Vitoria,Vitoria,Amarelo,Mansur,Zagueiro,10,Derrota
4608,19/04/2014,Internacional,Internacional,Vitoria,Internacional,Amarelo,Juan Silveira dos Santos,Zagueiro,20,Vitória
4608,19/04/2014,Internacional,Internacional,Vitoria,Vitoria,Amarelo,Vinícius Santos Silva,,82,Derrota
4609,19/04/2014,-,Chapecoense,Coritiba,Coritiba,Amarelo,Carlos Emiliano Pereira,Zagueiro,76,Empate
4612,20/04/2014,Cruzeiro,Bahia,Cruzeiro,Bahia,Amarelo,Cristian Chagas Tarouco,Zagueiro,78,Derrota
4612,20/04/2014,Cruzeiro,Bahia,Cruzeiro,Bahia,Amarelo,Rhayner,Atacante,41,Derrota
4612,20/04/2014,Cruzeiro,Bahia,Cruzeiro,Cruzeiro,Amarelo,Willian Farias,,90+1,Vitória
4612,20/04/2014,Cruzeiro,Bahia,Cruzeiro,Cruzeiro,Amarelo,Willian Gomes de Siqueira,Atacante,45+1,Vitória
4612,20/04/2014,Cruzeiro,Bahia,Cruzeiro,Bahia,Amarelo,Pará,Zagueiro,60,Derrota
4612,20/04/2014,Cruzeiro,Bahia,Cruzeiro,Bahia,Amarelo,Fahel,Meio-campo,39,Derrota
4612,20/04/2014,Cruzeiro,Bahia,Cruzeiro,Cruzeiro,Amarelo,Paulo César Tinga,Meio-campo,48,Vitória
4612,20/04/2014,Cruzeiro,Bahia,Cruzeiro,Cruzeiro,Amarelo,Nílton Ferreira Júnior,Meio-campo,22,Vitória
4611,20/04/2014,Sao Paulo,Sao Paulo,Botafogo-RJ,Botafogo-RJ,Amarelo,Marcelo Mattos,Meio-campo,67,Derrota
4611,20/04/2014,Sao Paulo,Sao Paulo,Botafogo-RJ,Sao Paulo,Amarelo,Álvaro Pereira,Zagueiro,31,Vitória
4611,20/04/2014,Sao Paulo,Sao Paulo,Botafogo-RJ,Botafogo-RJ,Amarelo,Juan Carlos Ferreyra,Atacante,30,Derrota
4610,20/04/2014,Athletico-PR,Athletico-PR,Gremio,Athletico-PR,Amarelo,Paulinho Dias,Meio-campo,38,Vitória
4610,20/04/2014,Athletico-PR,Athletico-PR,Gremio,Gremio,Amarelo,Ramiro Moschen Benetti,Meio-campo,62,Derrota
4610,20/04/2014,Athletico-PR,Athletico-PR,Gremio,Gremio,Amarelo,Edinho,Meio-campo,72,Derrota
4614,20/04/2014,-,Flamengo,Goias,Flamengo,Amarelo,Wallace Reis da Silva,Zagueiro,47,Empate
4614,20/04/2014,-,Flamengo,Goias,Flamengo,Amarelo,Léo Moura,Zagueiro,31,Empate
4614,20/04/2014,-,Flamengo,Goias,Goias,Amarelo,Thiago Henrique Mendes Ribeiro,Meio-campo,72,Empate
4614,20/04/2014,-,Flamengo,Goias,Flamengo,Amarelo,Lucas Mugni,Meio-campo,37,Empate
4614,20/04/2014,-,Flamengo,Goias,Flamengo,Amarelo,Maurício Azevedo Alves,Meio-campo,24,Empate
4614,20/04/2014,-,Flamengo,Goias,Goias,Amarelo,Tiago Real,,69,Empate
4615,20/04/2014,-,Santos,Sport,Santos,Amarelo,Jubal Rocha Mendes Júnior,,90+1,Empate
4615,20/04/2014,-,Santos,Sport,Sport,Amarelo,Luiz Antonio Linhares Garcia,Zagueiro,55,Empate
4615,20/04/2014,-,Santos,Sport,Sport,Amarelo,Neto Baiano,Atacante,75,Empate
4615,20/04/2014,-,Santos,Sport,Sport,Amarelo,Rodrigo Mancha,Meio-campo,43,Empate
4616,20/04/2014,Palmeiras,Criciuma,Palmeiras,Palmeiras,Amarelo,Josimar,Meio-campo,90+1,Vitória
4616,20/04/2014,Palmeiras,Criciuma,Palmeiras,Palmeiras,Amarelo,Marcelo Oliveira Ferreira,Meio-campo,26,Vitória
4616,20/04/2014,Palmeiras,Criciuma,Palmeiras,Criciuma,Amarelo,Silvinho,Atacante,72,Derrota
4616,20/04/2014,Palmeiras,Criciuma,Palmeiras,Criciuma,Amarelo,João Vitor Lima Gomes,Meio-campo,29,Derrota
4616,20/04/2014,Palmeiras,Criciuma,Palmeiras,Palmeiras,Amarelo,Fernando Prass,Goleiro,72,Vitória
4616,20/04/2014,Palmeiras,Criciuma,Palmeiras,Palmeiras,Amarelo,Jorge Valdivia,Meio-campo,22,Vitória
4616,20/04/2014,Palmeiras,Criciuma,Palmeiras,Criciuma,Amarelo,Sergio Escudero,Zagueiro,56,Derrota
4616,20/04/2014,Palmeiras,Criciuma,Palmeiras,Palmeiras,Amarelo,Alan Kardec,Atacante,90+2,Vitória
4617,26/04/2014,-,Coritiba,Santos,Coritiba,Amarelo,José Gildeixon Clemente de Paiva,Meio-campo,56,Empate
4617,26/04/2014,-,Coritiba,Santos,Coritiba,Amarelo,Luccas Claro,Zagueiro,47,Empate
4617,26/04/2014,-,Coritiba,Santos,Santos,Amarelo,Alan Santos da Silva,Meio-campo,81,Empate
4617,26/04/2014,-,Coritiba,Santos,Santos,Amarelo,Neuciano Gusmão,Zagueiro,17,Empate
4617,26/04/2014,-,Coritiba,Santos,Coritiba,Amarelo,Zé Love,Atacante,52,Empate
4617,26/04/2014,-,Coritiba,Santos,Santos,Amarelo,Stéfano Yuri,,89,Empate
4617,26/04/2014,-,Coritiba,Santos,Santos,Amarelo,Alison Lopes Ferreira,Meio-campo,79,Empate
4618,26/04/2014,Fluminense,Palmeiras,Fluminense,Fluminense,Amarelo,Wagner Ferreira dos Santos,Meio-campo,73,Vitória
4618,26/04/2014,Fluminense,Palmeiras,Fluminense,Palmeiras,Amarelo,Jorge Valdivia,Meio-campo,86,Derrota
4618,26/04/2014,Fluminense,Palmeiras,Fluminense,Fluminense,Amarelo,Darío Conca,Meio-campo,64,Vitória
4620,27/04/2014,-,Vitoria,Athletico-PR,Vitoria,Amarelo,Dão,Zagueiro,73,Empate
4620,27/04/2014,-,Vitoria,Athletico-PR,Athletico-PR,Amarelo,Dráusio Luis Salla Gil,Zagueiro,10,Empate
4622,27/04/2014,-,Cruzeiro,Sao Paulo,Cruzeiro,Amarelo,Henrique Pacheco Lima,Meio-campo,70,Empate
4622,27/04/2014,-,Cruzeiro,Sao Paulo,Cruzeiro,Amarelo,Miguel Samudio,Zagueiro,90+1,Empate
4622,27/04/2014,-,Cruzeiro,Sao Paulo,Sao Paulo,Amarelo,Álvaro Pereira,Zagueiro,23,Empate
4619,27/04/2014,-,Botafogo-RJ,Internacional,Botafogo-RJ,Amarelo,Edílson Mendes Guimarães,,82,Empate
4619,27/04/2014,-,Botafogo-RJ,Internacional,Internacional,Amarelo,Otávio,,90+3,Empate
4619,27/04/2014,-,Botafogo-RJ,Internacional,Internacional,Amarelo,Gladestony,,66,Empate
4619,27/04/2014,-,Botafogo-RJ,Internacional,Botafogo-RJ,Vermelho,Lucas Rios Marques,Zagueiro,90+3,Empate
4619,27/04/2014,-,Botafogo-RJ,Internacional,Botafogo-RJ,Amarelo,Airton Ribeiro Santos,Meio-campo,52,Empate
4619,27/04/2014,-,Botafogo-RJ,Internacional,Internacional,Amarelo,Charles Aránguiz,Meio-campo,82,Empate
4619,27/04/2014,-,Botafogo-RJ,Internacional,Internacional,Amarelo,Willians Domingos Fernandes,Meio-campo,16,Empate
4621,27/04/2014,Corinthians,Corinthians,Flamengo,Flamengo,Vermelho,Léo Moura,Zagueiro,42,Derrota
4621,27/04/2014,Corinthians,Corinthians,Flamengo,Corinthians,Amarelo,Ralf de Souza Teles,Meio-campo,26,Vitória
4621,27/04/2014,Corinthians,Corinthians,Flamengo,Flamengo,Amarelo,Víctor Cáceres,Meio-campo,37,Derrota
4621,27/04/2014,Corinthians,Corinthians,Flamengo,Corinthians,Amarelo,Paolo Guerrero,Atacante,7,Vitória
