estadio,ano,mandante,partidas,vitorias_casa,vitorias_fora,empates
Brinco de Ouro,2003,Guarani,23,15,5,3
Arena da Baixada,2003,Athletico-PR,22,14,4,4
Maracanã,2003,Flamengo,23,14,4,5
Serra Dourada,2003,Goias,23,12,4,7
Beira Rio,2003,Internacional,23,13,3,7
Heriberto Hulse,2003,Criciuma,22,14,5,3
Alfredo Jaconi,2003,Juventude,23,9,4,10
Castelão,2003,Fortaleza,15,7,5,3
Mineirão,2003,Cruzeiro,23,17,1,5
Barradão,2003,Vitoria,23,11,7,5
Vila Belmiro,2003,Santos,23,15,2,6
Pacaembu,2003,Corinthians,20,11,6,3
Maracanã,2003,Fluminense,18,9,3,6
Mineirão,2003,Atletico-MG,13,6,4,3
Couto Pereira,2003,Coritiba,23,14,4,5
Olímpico,2003,Gremio,23,10,7,6
Fonte Nova,2003,Bahia,23,11,6,6
Orlando Scarpelli,2003,Figueirense,23,11,4,8
Mangueirão,2003,Paysandu,23,13,3,7
Moisés Lucarelli,2003,Ponte Preta,22,6,6,10
Pinheirão,2003,Parana,15,10,2,3
Anacleto Campanella,2003,Sao Caetano,23,15,3,5
Morumbi,2003,Sao Paulo,21,12,5,4
São Januário,2003,Vasco,17,10,2,5
Presidente Vargas,2003,Fortaleza,7,2,2,3
Independência,2003,Atletico-MG,8,5,1,2
Édson Passos,2003,Fluminense,1,1,0,0
Morumbi,2003,Corinthians,3,0,2,1
Maracanã,2003,Vasco,3,1,1,1
Giulite Coutinho,2003,Fluminense,3,0,2,1
Arena da Baixada,2003,Parana,1,0,0,1
Couto Pereira,2003,Parana,4,2,2,0
Santa Cruz,2003,Sao Paulo,1,0,0,1
Willie Davids,2003,Parana,1,1,0,0
Municipal Juiz de Fora,2003,Fluminense,1,1,0,0
Benedito Teixeira,2003,Sao Paulo,1,1,0,0
Vila Belmiro,2003,Ponte Preta,1,1,0,0
Plácido Castelo,2003,Fortaleza,1,1,0,0
Estádio do Café,2003,Athletico-PR,1,0,1,0
Vivaldo Lima,2003,Vasco,1,0,0,1
Orlando Scarpelli,2003,Parana,1,0,0,1
Batistão,2003,Vasco,1,0,1,0
Estádio do Café,2003,Parana,1,0,0,1
Ressacada,2003,Criciuma,1,0,1,0
Pedro Pedrossian,2003,Vasco,1,0,1,0
Ipatingão,2003,Atletico-MG,2,2,0,0
Caio Martins,2004,Botafogo-RJ,19,8,4,7
Orlando Scarpelli,2004,Figueirense,22,12,3,7
Anacleto Campanella,2004,Sao Caetano,23,15,5,3
Ipatingão,2004,Cruzeiro,1,1,0,0
Parque Antártica,2004,Palmeiras,20,11,4,5
Olímpico,2004,Gremio,19,6,6,7
Moisés Lucarelli,2004,Ponte Preta,23,11,8,4
Pinheirão,2004,Parana,23,12,9,2
Couto Pereira,2004,Coritiba,23,11,7,5
São Januário,2004,Vasco,19,7,7,5
Mangueirão,2004,Paysandu,23,12,4,7
Morumbi,2004,Sao Paulo,22,17,1,4
Raulino de Oliveira,2004,Flamengo,17,9,4,4
Serra Dourada,2004,Goias,23,16,2,5
