estadio,ano,partidas,vitorias_casa,vitorias_fora,empates
 Brinco de Ouro,2003,23,15,5,3
 Arena da Baixada,2003,23,14,4,5
 Maracanã,2003,44,24,8,12
 Serra Dourada,2003,23,12,4,7
 Beira Rio,2003,23,13,3,7
 Heriberto Hulse,2003,22,14,5,3
 Alfredo Jaconi,2003,23,9,4,10
 Castelão,2003,15,7,5,3
 Mineirão,2003,36,23,5,8
 Barradão,2003,23,11,7,5
 Vila Belmiro,2003,24,16,2,6
 Pacaembu,2003,20,11,6,3
 Couto Pereira,2003,27,16,6,5
 Olímpico,2003,23,10,7,6
 Fonte Nova,2003,23,11,6,6
 Orlando Scarpelli,2003,24,11,4,9
 Mangueirão,2003,23,13,3,7
 Moisés Lucarelli,2003,22,6,6,10
 Pinheirão,2003,15,10,2,3
 Anacleto Campanella,2003,23,15,3,5
 Morumbi,2003,24,12,7,5
 São Januário,2003,17,10,2,5
 Presidente Vargas,2003,7,2,2,3
  Independência,2003,8,5,1,2
  Édson Passos,2003,1,1,0,0
  Giulite Coutinho,2003,3,0,2,1
  Santa Cruz,2003,1,0,0,1
  Willie Davids,2003,1,1,0,0
  Municipal Juiz de Fora,2003,1,1,0,0
  Benedito Teixeira,2003,1,1,0,0
  Plácido Castelo,2003,1,1,0,0
  Estádio do Café,2003,2,0,1,1
  Vivaldo Lima,2003,1,0,0,1
  Batistão,2003,1,0,1,0
  Ressacada,2003,1,0,1,0
  Pedro Pedrossian,2003,1,0,1,0
  Ipatingão,2003,2,2,0,0
  Caio Martins,2004,19,8,4,7
 Orlando Scarpelli,2004,22,12,3,7
 Anacleto Campanella,2004,23,15,5,3
  Ipatingão,2004,3,2,0,1
  Parque Antártica,2004,20,11,4,5
 Olímpico,2004,19,6,6,7
 Moisés Lucarelli,2004,23,11,8,4
 Pinheirão,2004,23,12,9,2
 Couto Pereira,2004,23,11,7,5
 São Januário,2004,19,7,7,5
 Mangueirão,2004,23,12,4,7
 Morumbi,2004,26,17,3,6
  Raulino de Oliveira,2004,24,14,5,5
 Serra Dourada,2004,24,17,2,5
 Alfredo Jaconi,2004,22,10,5,7
 Beira Rio,2004,23,15,4,4
 Mineirão,2004,33,15,11,7
 Maracanã,2004,29,10,6,13
 Pacaembu,2004,24,14,4,6
 Brinco de Ouro,2004,23,8,5,10
 Arena da Baixada,2004,22,15,2,5
 Barradão,2004,23,12,6,5
 Heriberto Hulse,2004,23,11,6,6
 Vila Belmiro,2004,17,12,3,2
  Independência,2004,9,4,2,3
  Mj José Levi Sobrinho,2004,1,0,0,1
  Wilson de Barros,2004,1,1,0,0
  Mário Helênio,2004,1,0,0,1
  Benedito Teixeira,2004,2,2,0,0
  Bento Freitas,2004,2,1,1,0
  Prudentão,2004,1,1,0,0
  Colosso da Lagoa,2004,3,0,2,1
  Santa Cruz,2004,1,1,0,0
Teixeirão,2004,1,1,0,0
 Pinheirão,2005,16,10,3,3
 Mineirão,2005,41,17,16,8
  Bruno J Daniel,2005,1,0,0,1
 Maracanã,2005,2,1,0,1
 Beira Rio,2005,21,14,4,3
  Pres Vargas*(PF),2005,2,1,1,0
 Pacaembu,2005,19,11,2,6
 Arena da Baixada,2005,19,13,3,3
  Mané Garrincha,2005,3,1,1,1
  A Campanella*(PF),2005,1,1,0,0
 Serra Dourada,2005,21,14,4,3
  R de Oliveira*(PF),2005,1,0,0,1
  Parque Antártica,2005,18,13,3,2
 Moisés Lucarelli,2005,21,11,7,3
 Morumbi,2005,23,11,5,7
 Alfredo Jaconi,2005,20,11,4,5
 Orlando Scarpelli,2005,21,11,5,5
  Luso Brasileiro*(PF),2005,1,1,0,0
 Couto Pereira,2005,21,10,8,3
 Mangueirão,2005,19,8,9,2
 Vila Belmiro,2005,17,8,3,6
  Raulino de Oliveira,2005,23,11,7,5
 Anacleto Campanella,2005,20,7,8,5
  G Coutinho*(PF),2005,1,1,0,0
  Luso Brasileiro,2005,34,16,8,10
  Boca do Jacaré,2005,17,5,7,5
 Presidente Vargas,2005,1,1,0,0
 São Januário,2005,21,12,4,5
  Couto Pereira*(PF),2005,2,0,0,2
  Wilson de Barros*(PF),2005,2,1,1,0
 Castelão,2005,18,10,4,4
  Giulite Coutinho,2005,1,0,1,0
  Willie Davids,2005,4,0,3,1
  Serejão,2005,1,0,0,1
  Pacaembu*(PF),2005,2,0,0,2
  Independência*(PF),2005,1,0,1,0
  Curuzu*(PF),2005,2,2,0,0
  Parque Antártica*(PF),2005,1,0,1,0
  Olímpico Regional,2005,1,1,0,0
  Centenário*(PF),2005,1,1,0,0
  A.Campanella*(PF),2005,1,0,1,0
 Alfredo Jaconi,2006,19,11,2,6
 São Januário,2006,17,7,2,8
 Morumbi,2006,25,16,4,5
 Olímpico,2006,16,10,3,3
 Maracanã,2006,53,25,13,15
 Anacleto Campanella,2006,19,6,7,6
  Parque Antártica,2006,17,8,5,4
  Arruda,2006,19,6,9,4
  Kyocera Arena,2006,18,9,6,3
 Serra Dourada,2006,19,9,5,5
 Pacaembu,2006,13,8,3,2
 Orlando Scarpelli,2006,19,9,3,7
 Beira Rio,2006,19,10,3,6
  Papa J.Paulo II (*PF),2006,1,1,0,0
 Moisés Lucarelli,2006,19,8,8,3
 Mineirão,2006,17,9,1,7
 Pinheirão,2006,11,7,1,3
 Castelão,2006,12,2,7,3
  Bruno J.Daniel (*PF),2006,1,1,0,0
Teixeirão,2006,1,0,1,0
 Vila Belmiro,2006,17,13,2,2
  Willie Davids,2006,1,0,1,0
  Raulino de Oliveira,2006,6,3,2,1
 Presidente Vargas,2006,7,3,2,2
  Centenário (*PF),2006,3,3,0,0
  Independência,2006,1,1,0,0
  Durival de Brito,2006,7,5,1,1
  Prudentão,2006,1,1,0,0
  Independência (*PF),2006,1,0,0,1
  Durival de Brito (*PF),2006,1,0,1,0
 Orlando Scarpelli,2007,19,10,4,5
 Morumbi,2007,28,16,5,7
 Maracanã,2007,47,24,9,14
 Beira Rio,2007,19,12,5,2
  Durival de Brito,2007,19,8,7,4
 Mineirão,2007,38,20,11,7
Machadão,2007,19,2,14,3
Ilha do Retiro,2007,19,11,3,5
 Alfredo Jaconi,2007,19,7,4,8
  Kyocera Arena,2007,19,11,2,6
 Vila Belmiro,2007,19,11,4,4
 Serra Dourada,2007,19,9,4,6
  Parque Antártica,2007,18,9,6,3
 Olímpico,2007,19,12,3,4
Aflitos,2007,19,9,6,4
 São Januário,2007,16,10,4,2
Olímpico Engenhão,2007,1,0,1,0
  Raulino de Oliveira,2007,1,0,0,1
 Pacaembu,2007,11,4,4,3
  Mané Garrincha,2007,2,1,0,1
Parque do Sabiá,2007,1,0,1,0
  Giulite Coutinho,2007,1,1,0,0
Engenheiro Araripe,2007,2,2,0,0
  Mário Helênio,2007,1,1,0,0
Engenhão,2007,4,2,1,1
Aflitos,2008,17,8,5,4
 Morumbi,2008,19,14,1,4
 Barradão,2008,19,11,3,5
 Couto Pereira,2008,19,10,3,6
 Beira Rio,2008,19,13,2,4
Engenhão,2008,18,9,5,4
  Ipatingão,2008,19,9,7,3
Canindé,2008,17,8,2,7
 Mineirão,2008,38,24,4,10
 Maracanã,2008,39,18,11,10
Ilha do Retiro,2008,19,11,2,6
 São Januário,2008,19,7,8,4
 Olímpico,2008,19,14,1,4
  Kyocera Arena,2008,19,10,3,6
 Serra Dourada,2008,17,10,3,4
 Orlando Scarpelli,2008,19,7,7,5
Palestra Itália,2008,18,13,3,2
 Vila Belmiro,2008,19,9,4,6
 Pacaembu,2008,2,1,0,1
  Arruda,2008,2,1,0,1
Antônio Guimarães,2008,1,0,1,0
Juscelino Kubitscheck,2008,1,1,0,0
Bezerrão,2008,1,0,1,0
Ilha do Retiro,2009,19,7,9,3
Palestra Itália,2009,18,11,1,6
  Ressacada,2009,19,10,3,6
 Pacaembu,2009,19,11,5,3
 Maracanã,2009,37,19,6,12
 Arena da Baixada,2009,18,8,4,6
 Mineirão,2009,38,18,12,8
 Olímpico,2009,19,14,0,5
Bruno José Daniel,2009,16,8,5,3
 Serra Dourada,2009,19,9,4,6
 Couto Pereira,2009,18,10,4,4
 Vila Belmiro,2009,17,7,5,5
 Morumbi,2009,19,12,1,6
Arena Barueri,2009,18,10,2,6
 Beira Rio,2009,19,12,3,4
Engenhão,2009,20,9,5,6
 Barradão,2009,19,11,3,5
Aflitos,2009,18,7,7,4
Eduardo José Farah,2009,2,0,1,1
Teixeirão,2009,1,0,0,1
  Estádio do Café,2009,1,1,0,0
 Anacleto Campanella,2009,1,0,1,0
  Olímpico Regional,2009,1,0,1,0
Luiz Lacerda,2009,1,1,0,0
  Santa Cruz,2009,1,0,0,1
 Brinco de Ouro,2009,1,0,1,0
  Prudentão,2009,1,0,0,1
Engenhão,2010,35,15,4,16
 Serra Dourada,2010,38,12,15,11
  Parque Antártica,2010,2,2,0,0
 Maracanã,2010,21,9,1,11
 Mineirão,2010,7,3,2,2
 Beira Rio,2010,19,9,3,7
 Pacaembu,2010,31,19,7,5
 Castelão,2010,19,9,1,9
 Brinco de Ouro,2010,19,7,3,9
  Ressacada,2010,19,9,5,5
  Prudentão,2010,19,5,9,5
 Barradão,2010,19,7,4,8
 Vila Belmiro,2010,16,8,3,5
 Morumbi,2010,16,8,5,3
 Olímpico,2010,19,11,4,4
 São Januário,2010,15,9,1,5
 Arena da Baixada,2010,19,12,1,6
Arena Barueri,2010,10,6,2,2
Arena do Jacaré,2010,22,13,5,4
  Ipatingão,2010,4,1,3,0
Parque do Sabiá,2010,5,3,2,0
  Raulino de Oliveira,2010,5,2,2,1
Fonte Luminosa,2010,1,0,1,0
Arena do Jacaré,2011,46,21,10,15
Cláudio Moacyr,2011,4,2,1,1
 Presidente Vargas,2011,19,7,7,5
 Vila Belmiro,2011,15,7,4,4
Teixeirão,2011,1,1,0,0
 Olímpico,2011,19,9,4,6
 Couto Pereira,2011,19,13,2,4
 Orlando Scarpelli,2011,19,8,5,6
 São Januário,2011,19,10,3,6
 Beira Rio,2011,19,10,3,6
Engenhão,2011,51,30,10,11
  Ressacada,2011,19,4,8,7
 Morumbi,2011,17,8,4,5
Fonte Luminosa,2011,1,1,0,0
Pituaçu,2011,19,7,5,7
 Arena da Baixada,2011,19,8,3,8
 Serra Dourada,2011,19,9,7,3
Canindé,2011,10,5,2,3
Morenão,2011,1,0,1,0
 Pacaembu,2011,28,17,5,6
  Raulino de Oliveira,2011,2,1,0,1
  Ipatingão,2011,4,0,4,0
Parque do Sabiá,2011,6,4,2,0
  Prudentão,2011,1,1,0,0
Arena Barueri,2011,2,0,1,1
Romildo Ferreira,2011,1,1,0,0
 Pacaembu,2012,30,13,8,9
Ilha do Retiro,2012,19,7,6,6
 Orlando Scarpelli,2012,19,5,8,6
 Beira Rio,2012,19,9,6,4
Engenhão,2012,49,23,10,16
 Moisés Lucarelli,2012,19,9,3,7
Parque do Sabiá,2012,1,0,0,1
Pituaçu,2012,19,5,5,9
 São Januário,2012,19,10,6,3
 Serra Dourada,2012,17,4,10,3
Canindé,2012,19,7,4,8
Aflitos,2012,19,13,3,3
 Morumbi,2012,18,14,2,2
  Independência,2012,34,21,5,8
 Couto Pereira,2012,19,11,6,2
 Vila Belmiro,2012,17,8,1,8
 Olímpico,2012,19,13,2,4
Melão,2012,3,2,0,1
Arena Barueri,2012,7,3,2,2
  Raulino de Oliveira,2012,8,4,2,2
Fonte Luminosa,2012,3,1,1,1
  Boca do Jacaré,2012,1,0,1,0
Bezerrão,2012,1,1,0,0
  Prudentão,2012,1,0,1,0
 Fonte Nova,2013,20,7,5,8
 São Januário,2013,8,3,3,2
 Pacaembu,2013,16,7,2,7
 Alfredo Jaconi,2013,1,1,0,0
 Heriberto Hulse,2013,19,8,7,4
 Moisés Lucarelli,2013,19,6,9,4
  Mané Garrincha,2013,10,1,2,7
 Couto Pereira,2013,19,10,4,5
  Independência,2013,19,13,1,5
Moacyrzão,2013,7,5,2,0
Vila Olímpica,2013,1,0,0,1
  Raulino de Oliveira,2013,4,3,0,1
 Morumbi,2013,17,7,7,3
Juiz de Fora,2013,1,0,1,0
Pituaçu,2013,1,0,0,1
Aflitos,2013,2,0,1,1
 Serra Dourada,2013,19,10,3,6
Centenário (RS),2013,11,6,2,3
Arena Joinville,2013,3,2,0,1
 Vila Belmiro,2013,14,6,2,6
 Barradão,2013,15,9,2,4
Canindé,2013,17,8,3,6
Arena do Grêmio,2013,18,11,3,4
 Orlando Scarpelli,2013,1,0,1,0
  Batistão,2013,1,1,0,0
Arena do Jacaré,2013,3,2,0,1
Jóia da Princesa,2013,1,1,0,0
Vila Capanema,2013,15,11,1,3
Arena Pernambuco,2013,18,4,12,2
 Mineirão,2013,15,12,2,1
 Maracanã,2013,44,21,9,14
Estádio do Vale,2013,8,1,3,4
Morenão,2013,1,1,0,0
Romildão,2013,2,1,0,1
  Ressacada,2013,1,1,0,0
Novelli Júnior,2013,3,2,1,0
Fonte Luminosa,2013,2,1,0,1
Castelão (CE),2013,1,0,0,1
Parque do Sabiá,2013,1,0,0,1
  Prudentão,2013,1,1,0,0
Teixeirão,2013,1,1,0,0
 Maracanã,2014,38,23,8,7
Estádio José Pinheiro Borda,2014,17,14,3,0
Arena Condá,2014,19,8,4,7
Itaipava Arena Fonte Nova,2014,17,6,7,4
 Morumbi,2014,19,11,2,6
 Orlando Scarpelli,2014,18,8,5,5
Estádio Municipal Parque do Sabiá,2014,4,1,0,3
Estádio Nacional de Brasília,2014,6,1,2,3
Estádio Urbano Caldeira,2014,13,7,4,2
Estádio Heriberto Hülse,2014,19,7,7,5
 Couto Pereira,2014,18,9,4,5
Estádio Municipal Paulo Machado de Carvalho,2014,19,9,6,4
Estádio de Pituaçu,2014,2,0,1,1
Adelmar da Costa Carvalho,2014,12,7,3,2
Arena Barueri,2014,3,0,2,1
Arena do Grêmio,2014,17,11,3,3
Estádio Municipal Juscelino Kubitschek,2014,1,1,0,0
Estádio Raimundo Sampaio,2014,16,11,2,3
  Estádio do Café,2014,1,0,1,0
Helenão,2014,1,1,0,0
 Mineirão,2014,17,14,2,1
Neo Química Arena,2014,15,9,1,5
Estádio Willie Davids,2014,2,1,0,1
Arena Pantanal,2014,4,2,2,0
Moacyrzão,2014,4,0,1,3
 Alfredo Jaconi,2014,2,1,0,1
Estádio Dr. Oswaldo Teixeira Duarte,2014,2,1,0,1
Estádio do Governo do Estado de Goiás (Serra Dourada),2014,15,7,4,4
Estádio Doutor Adhemar de Barros,2014,1,1,0,0
Estádio Alberto Oliveira,2014,4,1,3,0
Estádio Francisco Stédile (Centenário),2014,2,1,1,0
Estádio Ipatingão,2014,2,1,0,1
Estádio Paulo Constantino,2014,1,0,1,0
Vila Capanema,2014,1,1,0,0
Primeiro de Maio São Bernardo do Campo,2014,1,1,0,0
Estádio Municipal General Raulino de Oliveira,2014,4,2,1,1
 Barradão,2014,14,5,5,4
Estádio Joaquim Américo Guimarães,2014,14,8,3,3
Arena de Pernambuco,2014,7,3,0,4
Arena da Amazônia,2014,3,3,0,0
Estádio Vasco da Gama,2014,1,0,1,0
 Mangueirão,2014,1,0,1,0
Allianz Parque,2014,2,0,1,1
Castelão de São Luís,2014,1,0,0,1
Arena Condá,2015,19,9,5,5
Allianz Parque,2015,17,8,5,4
 Maracanã,2015,42,18,16,8
Arena do Grêmio,2015,19,14,2,3
Arena Pantanal,2015,3,1,2,0
Adelmar da Costa Carvalho,2015,11,8,0,3
Estádio Joaquim Américo Guimarães,2015,18,9,3,6
 Morumbi,2015,19,12,1,6
Estádio Vasco da Gama,2015,8,2,3,3
  Ressacada,2015,19,8,6,5
Estádio do Governo do Estado de Goiás (Serra Dourada),2015,19,7,8,4
 Couto Pereira,2015,20,6,6,8
Estádio Doutor Adhemar de Barros,2015,1,1,0,0
 Orlando Scarpelli,2015,19,7,6,6
Estádio Nacional de Brasília,2015,4,1,2,1
Estádio Urbano Caldeira,2015,19,15,1,3
Estádio José Pinheiro Borda,2015,19,14,2,3
Arena Joinville,2015,19,6,6,7
 Moisés Lucarelli,2015,18,9,5,4
 Mineirão,2015,23,14,3,6
Estádio Raimundo Sampaio,2015,13,8,3,2
Neo Química Arena,2015,18,15,1,2
Arena de Pernambuco,2015,8,5,1,2
Arena das Dunas,2015,1,1,0,0
Estádio Municipal Paulo Machado de Carvalho,2015,2,1,1,0
