ano,mandante,partidas,vitorias_casa,derrotas_casa,empates
2003,Guarani,23,15,5,3
2003,Athletico-PR,23,14,5,4
2003,Flamengo,23,14,4,5
2003,Goias,23,12,4,7
2003,Internacional,23,13,3,7
2003,Criciuma,23,14,6,3
2003,Juventude,23,9,4,10
2003,Fortaleza,23,10,7,6
2003,Cruzeiro,23,17,1,5
2003,Vitoria,23,11,7,5
2003,Santos,23,15,2,6
2003,Corinthians,23,11,8,4
2003,Fluminense,23,11,5,7
2003,Atletico-MG,23,13,5,5
2003,Coritiba,23,14,4,5
2003,Gremio,23,10,7,6
2003,Bahia,23,11,6,6
2003,Figueirense,23,11,4,8
2003,Paysandu,23,13,3,7
2003,Ponte Preta,23,7,6,10
2003,Parana,23,13,4,6
2003,Sao Caetano,23,15,3,5
2003,Sao Paulo,23,13,5,5
2003,Vasco,23,11,5,7
2004,Botafogo-RJ,23,8,4,11
2004,Figueirense,23,13,3,7
2004,Sao Caetano,23,15,5,3
2004,Cruzeiro,23,12,8,3
2004,Palmeiras,23,12,6,5
2004,Gremio,23,7,8,8
2004,Ponte Preta,23,11,8,4
2004,Parana,23,12,9,2
2004,Coritiba,23,11,7,5
2004,Vasco,23,9,8,6
2004,Paysandu,23,12,4,7
2004,Sao Paulo,23,17,1,5
2004,Flamengo,23,10,6,7
2004,Goias,23,16,2,5
2004,Juventude,23,10,6,7
2004,Internacional,23,15,4,4
2004,Atletico-MG,23,9,5,9
2004,Fluminense,23,12,4,7
2004,Corinthians,23,12,4,7
2004,Guarani,23,8,5,10
2004,Athletico-PR,23,16,2,5
2004,Vitoria,23,12,6,5
2004,Criciuma,23,11,6,6
2004,Santos,23,18,3,2
2005,Parana,21,11,6,4
2005,Atletico-MG,21,6,11,4
2005,Sao Caetano,21,7,8,6
2005,Flamengo,21,8,5,8
2005,Internacional,21,14,4,3
2005,Fortaleza,21,12,5,4
2005,Fluminense,21,11,6,4
2005,Corinthians,21,12,3,6
2005,Athletico-PR,21,13,3,5
2005,Brasiliense,21,6,8,7
2005,Santos,21,9,5,7
2005,Goias,21,14,4,3
2005,Vasco,21,11,4,6
2005,Palmeiras,21,14,3,4
2005,Ponte Preta,21,11,7,3
2005,Sao Paulo,21,10,5,6
2005,Cruzeiro,21,11,6,4
2005,Juventude,21,12,4,5
2005,Figueirense,21,11,5,5
2005,Botafogo-RJ,21,12,5,4
2005,Coritiba,21,10,8,3
2005,Paysandu,21,10,9,2
2006,Juventude,19,11,2,6
2006,Vasco,19,8,2,9
2006,Sao Paulo,19,14,1,4
2006,Gremio,19,13,3,3
2006,Botafogo-RJ,19,10,5,4
2006,Sao Caetano,19,6,7,6
2006,Palmeiras,19,10,5,4
2006,Santa Cruz,19,6,9,4
2006,Athletico-PR,19,9,7,3
2006,Goias,19,9,5,5
2006,Corinthians,19,9,7,3
2006,Fluminense,19,7,6,6
2006,Figueirense,19,9,3,7
2006,Internacional,19,10,3,6
2006,Santos,19,15,2,2
2006,Ponte Preta,19,8,8,3
2006,Flamengo,19,10,4,5
2006,Cruzeiro,19,10,1,8
2006,Parana,19,12,3,4
2006,Fortaleza,19,5,9,5
2007,Figueirense,19,10,4,5
2007,Sao Paulo,19,13,3,3
2007,Fluminense,19,8,3,8
2007,Flamengo,19,12,3,4
2007,Internacional,19,12,5,2
2007,Parana,19,8,7,4
2007,Atletico-MG,19,9,5,5
2007,Corinthians,19,6,6,7
2007,America-RN,19,2,14,3
2007,Sport,19,11,3,5
2007,Juventude,19,7,4,8
2007,Athletico-PR,19,11,2,6
2007,Santos,19,11,4,4
2007,Cruzeiro,19,11,6,2
2007,Goias,19,9,4,6
2007,Palmeiras,19,10,6,3
2007,Botafogo-RJ,19,10,5,4
2007,Gremio,19,12,3,4
2007,Nautico,19,9,6,4
2007,Vasco,19,11,5,3
2008,Nautico,19,9,5,5
2008,Sao Paulo,19,14,1,4
2008,Vitoria,19,11,3,5
2008,Coritiba,19,10,3,6
2008,Internacional,19,13,2,4
2008,Botafogo-RJ,19,9,6,4
2008,Ipatinga,19,9,7,3
2008,Portuguesa,19,8,3,8
2008,Atletico-MG,19,9,2,8
2008,Flamengo,19,11,4,4
2008,Cruzeiro,19,15,2,2
2008,Sport,19,11,2,6
2008,Vasco,19,7,8,4
2008,Gremio,19,14,1,4
2008,Athletico-PR,19,10,3,6
2008,Fluminense,19,7,6,6
2008,Goias,19,11,4,4
2008,Figueirense,19,7,7,5
2008,Palmeiras,19,14,3,2
2008,Santos,19,9,4,6
2009,Sport,19,7,9,3
2009,Palmeiras,19,11,1,7
2009,Avai,19,10,3,6
2009,Corinthians,19,10,7,2
2009,Fluminense,19,8,4,7
2009,Athletico-PR,19,9,4,6
2009,Cruzeiro,19,9,7,3
2009,Gremio,19,14,0,5
2009,Santo Andre,19,8,6,5
2009,Goias,19,9,4,6
2009,Coritiba,19,10,5,4
2009,Atletico-MG,19,9,5,5
2009,Flamengo,19,12,2,5
2009,Santos,19,8,5,6
2009,Sao Paulo,19,12,1,6
2009,Barueri,19,10,2,7
2009,Internacional,19,12,3,4
2009,Botafogo-RJ,19,8,5,6
2009,Vitoria,19,11,3,5
2009,Nautico,19,8,7,4
2010,Botafogo-RJ,19,8,1,10
2010,Atletico-GO,19,7,6,6
2010,Palmeiras,19,8,6,5
2010,Flamengo,19,6,4,9
2010,Atletico-MG,19,9,9,1
2010,Internacional,19,9,3,7
2010,Corinthians,19,15,2,2
2010,Ceara,19,9,1,9
2010,Guarani,19,7,3,9
2010,Avai,19,9,5,5
2010,Fluminense,19,12,2,5
2010,Gremio Prudente,19,5,9,5
2010,Vitoria,19,7,4,8
2010,Santos,19,10,4,5
2010,Sao Paulo,19,10,6,3
2010,Goias,19,5,9,5
2010,Gremio,19,11,4,4
2010,Vasco,19,9,1,9
2010,Cruzeiro,19,11,3,5
2010,Athletico-PR,19,12,1,6
2011,Atletico-MG,19,10,6,3
2011,Flamengo,19,9,3,7
2011,Ceara,19,7,7,5
2011,Santos,19,10,4,5
2011,Palmeiras,19,9,4,6
2011,Gremio,19,9,4,6
2011,Coritiba,19,13,2,4
2011,Figueirense,19,8,5,6
2011,Fluminense,19,12,7,0
2011,America-MG,19,7,5,7
2011,Internacional,19,10,3,6
2011,Botafogo-RJ,19,11,3,5
2011,Avai,19,4,8,7
2011,Sao Paulo,19,9,4,6
2011,Corinthians,19,13,4,2
2011,Bahia,19,7,5,7
2011,Athletico-PR,19,8,3,8
2011,Cruzeiro,19,8,6,5
