clube,posicao,00-10,11-20,21-30,31-40,41-45,45+,46-60,61-70,71-80,81-90,90+
America-MG,Atacante,1,2,1,9,1,4,6,7,11,8,12
America-MG,Desconhecido,0,1,0,0,1,2,4,4,1,10,5
America-MG,Goleiro,0,0,1,2,0,0,1,1,2,2,3
America-MG,Meio-campo,3,13,14,16,9,6,18,20,24,23,9
America-MG,Zagueiro,6,11,14,21,8,6,28,13,20,23,11
Athletico-PR,Atacante,6,7,8,4,10,4,18,10,18,27,13
Athletico-PR,Desconhecido,0,0,1,0,0,1,4,4,6,16,9
Athletico-PR,Goleiro,0,2,3,1,3,2,5,5,8,5,10
Athletico-PR,Meio-campo,10,28,31,43,21,16,62,54,60,56,32
Athletico-PR,Zagueiro,11,20,27,35,16,16,49,45,44,46,45
Atletico-GO,Atacante,1,2,2,10,3,4,6,15,14,19,12
Atletico-GO,Desconhecido,0,0,0,0,0,0,0,1,3,2,2
Atletico-GO,Goleiro,0,0,1,1,0,0,5,0,4,4,3
Atletico-GO,Meio-campo,6,14,21,28,16,11,40,33,22,23,14
Atletico-GO,Zagueiro,5,7,10,13,15,8,28,13,17,19,17
Atletico-MG,Atacante,1,4,10,9,6,2,13,7,14,28,18
Atletico-MG,Desconhecido,0,0,0,0,0,1,6,6,11,18,15
Atletico-MG,Goleiro,2,2,1,2,3,1,7,3,6,10,8
Atletico-MG,Meio-campo,13,24,20,52,35,17,68,57,44,42,28
Atletico-MG,Zagueiro,10,16,38,34,22,19,53,48,45,49,46
Avai,Atacante,2,1,6,5,1,1,5,4,13,8,5
Avai,Desconhecido,0,0,1,0,0,1,2,1,8,13,7
Avai,Goleiro,1,0,1,1,0,1,1,3,3,6,1
Avai,Meio-campo,3,10,20,21,10,6,20,19,21,24,18
Avai,Zagueiro,3,5,11,17,3,5,25,18,13,16,16
Bahia,Atacante,2,4,4,11,7,3,16,16,16,20,15
Bahia,Desconhecido,1,0,0,2,1,1,0,8,9,14,3
Bahia,Goleiro,1,1,2,2,1,2,2,2,3,2,2
Bahia,Meio-campo,11,21,25,30,25,11,49,36,39,43,35
Bahia,Zagueiro,8,21,21,30,12,8,36,31,25,29,25
